school_name,school_level,class_code,campus_id,address,city,state,zip,Basement,Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,uploaded,source_file,notes,longitude,latitude,in_survey_dropdown
KEALING,Middle School,MID,044,1607 PENNSYLVANIA AVE.,AUSTIN,TX,78702,,KEALING MS.svg,,,,,,,,-97.72186176599996,30.27089087600007,yes
KIKER,Elementary School,ELEM,180,5913 LA CROSSE AVE.,AUSTIN,TX,78739,,KIKER ES.svg,,,,,,,,-97.88123746699995,30.191540691000057,yes
KOCUREK,Elementary School,ELEM,172,9800 CURLEW DRIVE,AUSTIN,TX,78748,,KOCUREK ES.svg,,,,,,,,-97.83498249199994,30.17804735800007,yes
LAMAR,Middle School,MID,045,6201 WYNONA STREET,AUSTIN,TX,78757,,LAMAR MS.svg,,,,,,,,-97.74054541099997,30.337817990000076,yes
LANGFORD,Elementary School,ELEM,168,2206 BLUE MEADOW DRIVE,AUSTIN,TX,78744,,LANGFORD ES.svg,,,,,,,,-97.76349437399995,30.182084430000035,yes
LASA,High School,HIGH,019,1012 ARTHUR STILES ROAD,AUSTIN,TX,78721,,LASA HS.svg,,,,,,,,-97.68037493999998,30.258714193000056,yes
LBJ,High School,HIGH,014,7309 LAZY CREEK DRIVE,AUSTIN,TX,78724,,LBJ HS.svg,,,,,,,,-97.65662300099996,30.31456855500005,yes
LEE,Elementary School,ELEM,121,3308 HAMPTON ROAD,AUSTIN,TX,78705,,LEE ES.svg,,,,,,,,-97.72739774799999,30.293385324000045,yes
LINDER,Elementary School,ELEM,160,2800 METCALFE ROAD,AUSTIN,TX,78741,,LINDER ES.svg,,,,,,,,-97.73768211899994,30.22444702000007,yes
LIVELY,Middle School,MID,043,201 E. MARY STREET,AUSTIN,TX,78704,,LIVELY MS.svg,,,,,,,,-97.75027451899996,30.243671105000033,yes
MAPLEWOOD,Elementary School,ELEM,122,3808 MAPLEWOOD AVE.,AUSTIN,TX,78722,,MAPLEWOOD ES.svg,,,,,,,,-97.71439634799998,30.29317597800008,yes
MARSHALL,Middle School,MID,0,,AUSTIN,TX,,,MARSHALL MS.svg,,,,,,,,-97.69440438999999,30.297154123000045,yes
MARTIN,Middle School,MID,051,1601 HASKELL STREET,AUSTIN,TX,78702,,MARTIN MS.svg,,,,,,,,-97.72988962199997,30.25304080500007,yes
MATHEWS,Elementary School,ELEM,123,906 WEST LYNN STREET,AUSTIN,TX,78703,,MATHEWS ES.svg,,,,,,,,-97.76090737499999,30.278335810000048,yes
MCBEE,Elementary School,ELEM,165,1001 WEST BRAKER,AUSTIN,TX,78758,,MCBEE ES.svg,,,,,,,,-97.69109458699995,30.383218188000058,yes
MCCALLUM,High School,HIGH,005,5600 SUNSHINE DRIVE,AUSTIN,TX,78756,,MCCALLUM HS.svg,,,,,,,,-97.73028257599998,30.325801637000044,yes
MENCHACA,Elementary School,ELEM,147,12120 MENCHACA ROAD,AUSTIN,TX,78748,,MENCHACA ES.svg,,,,,,,,-97.83365825899996,30.14154130600008,yes
MENDEZ,Middle School,MID,058,5106 VILLAGE SQUARE DRIVE,AUSTIN,TX,78744,,MENDEZ MS.svg,,,,,,,,-97.74348085099996,30.189228133000025,yes
MILLS,Elementary School,ELEM,181,6201 DAVIS LANE,AUSTIN,TX,78749,,MILLS ES.svg,,,,,,,,-97.877695084,30.21064768900004,yes
MURCHISON,Middle School,MID,052,3700 N HILLS DRIVE,AUSTIN,TX,78731,,MURCHISON MS.svg,,,,,,,,-97.75837065399998,30.354163238000073,yes
NAVARRO,High School,HIGH,004,1201 PAYTON GIN ROAD,AUSTIN,TX,78758,,NAVARRO HS.svg,,,,,,,,-97.70796041499995,30.36030804100005,yes
NAVARRO GPA,Alternative Education,ALT ED 1,026,1201 PAYTON GIN ROAD,AUSTIN,TX,78758,,NAVARRO GPA ALT.svg,,,,,,,,-97.70880967199997,30.361380152000038,yes
NELSON BUS,District Facility,DISTRICT,959,7105 BERKMAN DRIVE,AUSTIN,TX,78752,,NELSON BUS DIST.svg,,,,,,,,-97.68614934350128,30.32375311237706,yes
NELSON FIELD,Athletic Facility,ATHLETIC,281,7105 BERKMAN DRIVE,AUSTIN,TX,78752,,NELSON FIELD ATH.svg,,,,,,,,-97.68817664427826,30.323458059212328,yes
NOACK SPORTS,Athletic Facility,ATHLETIC,950,5300 CRAINWAY DRIVE,AUSTIN,TX,78724,,NOACK SPORTS ATH.svg,,,,,,,,-97.65622604141184,30.317737872421535,yes
